date,open,high,low,close,volume,dividends,stock_splits
1999-01-22,0.04010933332777158,0.04476476558867417,0.035573084422351624,0.03760284557938576,2714688000,0.0,0.0
1999-01-25,0.04058698595919402,0.04201900341748982,0.03760285236786912,0.04154227674007416,510480000,0.0,0.0
1999-01-26,0.0420189913586242,0.04285509852255427,0.03772202150388292,0.038318850100040436,343200000,0.0,0.0
1999-01-27,0.038438037655707254,0.03939332835201304,0.036289096360780516,0.03819967433810234,244368000,0.0,0.0
1999-01-28,0.03819966589113326,0.03843802915602967,0.03784120398869322,0.03807956725358963,227520000,0.0,0.0
1999-01-29,0.038079579077125426,0.03819967775195914,0.03628909960389137,0.03628909960389137,244032000,0.0,0.0
1999-02-01,0.03628908196577355,0.03724436886785022,0.03628908196577355,0.03700600564479828,154704000,0.0,0.0
1999-02-02,0.03628910081710895,0.03724438821543498,0.03306660036135697,0.034141071140766144,264096000,0.0,0.0
1999-02-03,0.03366342506117514,0.03533472101022386,0.03342414303030146,0.03485707566142082,75120000,0.0,0.0
1999-02-04,0.03533471710886562,0.037722024876350325,0.0348570718128001,0.03676673769950867,181920000,0.0,0.0
1999-02-05,0.037363574017249684,0.03819968150395294,0.036409201854856986,0.03784121945500374,136848000,0.0,0.0
1999-02-08,0.03807957569873193,0.03819967436291058,0.03652837499976158,0.03652837499976158,154080000,0.0,0.0
1999-02-09,0.03724437941204473,0.037482746117868684,0.034617793067260004,0.03509543836116791,86976000,0.0,0.0
1999-02-10,0.03509543909987451,0.03605072629250832,0.0341410637895199,0.03473789244890213,148224000,0.0,0.0
1999-02-11,0.034857068546255636,0.03915403838247957,0.034857068546255636,0.03772202134132385,132240000,0.0,0.0
1999-02-12,0.03819967431537391,0.04010933699390619,0.03819967431537391,0.0398709736764431,109728000,0.0,0.0
1999-02-16,0.04058698171670276,0.042258281052032595,0.03605072905122584,0.040109336376190186,211008000,0.0,0.0
1999-02-17,0.0391540454799064,0.03963169081779301,0.037244382841283286,0.037960391491651535,67728000,0.0,0.0
1999-02-18,0.03915404175477827,0.03963168704722155,0.03748274600293409,0.03855721652507782,70704000,0.0,0.0
1999-02-19,0.03819967431537391,0.04058698234177489,0.03772202896750521,0.0398709736764431,75360000,0.0,0.0
1999-02-22,0.04058698171670276,0.04106462705721534,0.037960391700347776,0.040109336376190186,205248000,0.0,0.0
1999-02-23,0.041064622819381315,0.042855101919186435,0.038677315076114924,0.04201899468898773,138096000,0.0,0.0
1999-02-24,0.048226538501177287,0.05013711595174075,0.044287115563863604,0.045361585915088654,612768000,0.0,0.0
1999-02-25,0.04727216384430708,0.04870418421079526,0.04321264223489995,0.0439295694231987,149136000,0.0,0.0
1999-02-26,0.044407241362836344,0.04583925917563246,0.04154228702399227,0.04189983382821083,172608000,0.0,0.0
1999-03-01,0.04297428627508,0.043929576879830526,0.04010933317368345,0.042139094322919846,92160000,0.0,0.0
1999-03-02,0.04201900277488373,0.04225828482295658,0.041064630721623425,0.04178063943982124,55248000,0.0,0.0
1999-03-03,0.04201899522178651,0.04201899522178651,0.038677315566541366,0.03891567885875702,61392000,0.0,0.0
1999-03-04,0.04082533665595345,0.041064618633589775,0.037722020648600516,0.03807956725358963,57360000,0.0,0.0
1999-03-05,0.03843802977663263,0.040347692064856215,0.03843802977663263,0.04022851213812828,78768000,0.0,0.0
1999-03-08,0.03915404887630783,0.042019002439223345,0.0384380401638297,0.04082534834742546,75888000,0.0,0.0
1999-03-09,0.040706161831083484,0.042735922980319876,0.040706161831083484,0.042139094322919846,143184000,0.0,0.0
1999-03-10,0.04273592602659896,0.04273592602659896,0.04082534468090889,0.041422173380851746,235344000,0.0,0.0
1999-03-11,0.04070616869627037,0.04142217741416223,0.03963169455528259,0.03963169455528259,54288000,0.0,0.0
1999-03-12,0.039870969453310035,0.039870969453310035,0.03819967026926486,0.03891567885875702,90768000,0.0,0.0
1999-03-15,0.03987097326445483,0.04106462726532125,0.03963169123652173,0.04058698192238808,108816000,0.0,0.0
1999-03-16,0.04082534561301003,0.041302990960337876,0.038915682936640134,0.03927414491772652,79152000,0.0,0.0
