date,open,high,low,close,volume,dividends,stock_splits
2004-08-19,2.481989269010716,2.5827575427166254,2.381716151343207,2.4904274940490723,893181924,0.0,0.0
2004-08-20,2.5070573894320596,2.707353943651128,2.4943989862005362,2.688241958618164,456686856,0.0,0.0
2004-08-23,2.7488034860650825,2.8165613648024785,2.70660928211129,2.7152962684631348,365122512,0.0,0.0
2004-08-24,2.7609646891893638,2.769899962488487,2.5705960987214294,2.6028614044189453,304946748,0.0,0.0
2004-08-25,2.6050955846440074,2.680547993433155,2.578290241858899,2.630908250808716,183772044,0.0,0.0
2004-08-26,2.6048469041427613,2.6793066453523533,2.5976494066105036,2.678313732147217,141897960,0.0,0.0
2004-08-27,2.6830294568978057,2.6959359082525496,2.6232139511028705,2.6346304416656494,124235640,0.0,0.0
2004-08-30,2.6130384210980324,2.6182503290040766,2.531877279281616,2.531877279281616,103935960,0.0,0.0
2004-08-31,2.539074238384059,2.57406998988172,2.535599870314955,2.540811777114868,98357544,0.0,0.0
2004-09-01,2.549002411056613,2.5557040427258784,2.47379804878294,2.488193988800049,182765052,0.0,0.0
2004-09-02,2.461884766169496,2.5408122653657093,2.4556799451219002,2.5194668769836426,302373324,0.0,0.0
2004-09-03,2.505567606733172,2.5251754549545162,2.4651109461503293,2.4822373390197754,103048848,0.0,0.0
2004-09-07,2.507057053035848,2.5316289938731504,2.4723093482971303,2.5212042331695557,116950932,0.0,0.0
2004-09-08,2.500355771371838,2.5571930237414633,2.494399000885352,2.5390748977661133,99712188,0.0,0.0
2004-09-09,2.5447832805190433,2.549250325748256,2.5068092579472094,2.5393223762512207,81234684,0.0,0.0
2004-09-10,2.521701165006276,2.6448077437024495,2.514254670540662,2.61427903175354,173977848,0.0,0.0
2004-09-13,2.64654387881569,2.6907238984778896,2.6423248850949244,2.668137550354004,156882960,0.0,0.0
2004-09-14,2.6668972992907065,2.7798278777641383,2.6505155315963256,2.76716947555542,216579204,0.0,0.0
2004-09-15,2.7440872139282906,2.835176301050256,2.7351519408843443,2.779827833175659,214261524,0.0,0.0
2004-09-16,2.788266054021812,2.8741432333892774,2.7711406066819015,2.8287227153778076,185326488,0.0,0.0
2004-09-17,2.839891535139519,2.916088819503784,2.8182990413634093,2.916088819503784,189450360,0.0,0.0
2004-09-20,2.9026864887731016,3.0180985259732296,2.8982184973560288,2.9625022411346436,212575212,0.0,0.0
2004-09-21,2.973670724525749,2.9888115274743394,2.9165854282361185,2.9247758388519287,144575280,0.0,0.0
2004-09-22,2.9138548803853896,2.9701962584405903,2.899210889209223,2.9381778240203857,151624224,0.0,0.0
2004-09-23,2.949595129405384,3.0436627028909884,2.9044224338825355,2.998739004135132,170713116,0.0,0.0
2004-09-24,3.001717553087702,3.0801484680446922,2.972429808097537,2.9741673469543457,182469348,0.0,0.0
2004-09-27,2.967465747386178,3.0002278610506554,2.9237827715240807,2.935199499130249,141322536,0.0,0.0
2004-09-28,3.0106529820750247,3.162053679436586,2.9835986399367505,3.148651361465454,338581080,0.0,0.0
2004-09-29,3.1446799265569516,3.351181258764295,3.133014439086856,3.2533905506134033,610329060,0.0,0.0
2004-09-30,3.224104133518621,3.2836718369130695,3.201765830933306,3.2166576385498047,275160564,0.0,0.0
2004-10-01,3.246441016450804,3.331821378855491,3.1992836719582267,3.290620803833008,302497200,0.0,0.0
2004-10-04,3.3568903241992145,3.397097988401454,3.326609663830695,3.3521742820739746,260455284,0.0,0.0
2004-10-05,3.3422460865933514,3.4382992588078083,3.282181581570367,3.434328079223633,299464236,0.0,0.0
2004-10-06,3.4139756196976743,3.436313920304534,3.375504548640471,3.4023098945617676,267628104,0.0,0.0
2004-10-07,3.398338935621823,3.4718067139346602,3.389155847587078,3.446242094039917,282301416,0.0,0.0
2004-10-08,3.4430144358121795,3.466841513878358,3.4008211837810918,3.418443441390991,221390388,0.0,0.0
2004-10-11,3.40032432644606,3.4464899430608593,3.322142638462379,3.3571383953094482,209442348,0.0,0.0
2004-10-12,3.336785270036888,3.4154651839083314,3.310972602063514,3.410252094268799,233310456,0.0,0.0
2004-10-13,3.557186553649693,3.562894326168318,3.4767702862460514,3.497122049331665,395324280,0.0,0.0
2004-10-14,3.499852849480532,3.533855693399535,3.439043476927177,3.5244247913360596,208842948,0.0,0.0
2004-10-15,3.5971470968410277,3.611294042430033,3.523183213348113,3.576794147491455,263895840,0.0,0.0
2004-10-18,3.554208747366334,3.703127762840384,3.5048168112191243,3.7021350860595703,280726992,0.0,0.0
2004-10-19,3.7353931355247827,3.7825511920769976,3.657210265785884,3.671854257583618,362197440,0.0,0.0
2004-10-20,3.6740876638617084,3.697914743101674,3.464856094727737,3.4869463443756104,454453092,0.0,0.0
2004-10-21,3.5839921997637756,3.726209567085602,3.514992421983417,3.707594633102417,582996420,0.0,0.0
2004-10-22,4.23278430400052,4.471799975379768,4.072447373346861,4.279693603515625,1474200324,0.0,0.0
2004-10-25,4.378227827891795,4.825731123974666,4.282671698858712,4.651247501373291,1309257432,0.0,0.0
2004-10-26,4.624937956129067,4.781303216594,4.4675804918954265,4.512256145477295,891391716,0.0,0.0
2004-10-27,4.53509098782635,4.703865905728513,4.511511721711984,4.615755081176758,533725740,0.0,0.0
2004-10-28,4.633377040368341,4.824738535188526,4.606571931108514,4.797684192657471,593278128,0.0,0.0
2004-10-29,4.936427510159714,4.962736989580938,4.730671027221918,4.731663703918457,845653500,0.0,0.0
2004-11-01,4.803890175762094,4.906148179621196,4.747300978647223,4.865443229675293,488507004,0.0,0.0
2004-11-02,4.933697192400952,4.945362917943467,4.798677071959173,4.8366522789001465,453398148,0.0,0.0
2004-11-03,4.91880532766311,5.003689835566469,4.734394447182695,4.757228851318359,554992452,0.0,0.0
2004-11-04,4.677060147482808,4.725706983696114,4.550726305338438,4.584233283996582,575807616,0.0,0.0
2004-11-05,4.516723445119398,4.52466580541633,4.183392600081646,4.203248500823975,792530676,0.0,0.0
2004-11-08,4.242464498989821,4.3544014674691,4.204489761008839,4.28267240524292,447224328,0.0,0.0
2004-11-09,4.3211426350749,4.3484443193143,4.101983353055532,4.187115669250488,442125432,0.0,0.0
